n_cap,stime,etime,content
1,"00:00:02,500","00:00:03,266",陆总
2,"00:00:03,399","00:00:03,933",刚才我说
3,"00:00:03,966","00:00:04,766",在房子里等夫人
4,"00:00:04,799","00:00:05,366",不就好了
5,"00:00:07,766","00:00:08,400",你难道
6,"00:00:09,033","00:00:10,466",要我在她那个猪圈里
7,"00:00:10,500","00:00:11,300",一直等吗
8,"00:00:14,966","00:00:15,666",我懂了
9,"00:00:15,800","00:00:16,899",陆总这是不好意思了
10,"00:00:22,133","00:00:23,199",天都黑了
11,"00:00:24,166","00:00:25,500",她怎么还没收拾好啊
12,"00:00:26,300","00:00:28,933",将南给她打个电话催催她
13,"00:00:40,333","00:00:41,100",出发
14,"00:00:43,333","00:00:44,100",你谁啊
15,"00:00:50,600","00:00:51,866",姜小姐
16,"00:00:52,033","00:00:53,100",嗯是我
17,"00:00:56,166","00:00:57,533",看你这身装扮
18,"00:00:58,166","00:01:01,700",还以为你在非洲挖碳去了
19,"00:01:02,100","00:01:03,500",我刚做了医美
20,"00:01:03,799","00:01:05,933",医生说不能晒太阳
21,"00:01:10,000","00:01:10,533",走吧走吧
22,"00:01:10,566","00:01:12,066",不是说快迟到了吗
23,"00:01:12,366","00:01:12,799",走吧
24,"00:01:12,833","00:01:13,566",去老宅
25,"00:01:20,500","00:01:21,333",墨镜摘了去
26,"00:01:36,166","00:01:37,466",奶奶好
27,"00:01:37,500","00:01:38,333",爸妈
28,"00:01:38,533","00:01:39,666",大伯大伯母
29,"00:01:39,933","00:01:40,700",不好意思
30,"00:01:40,766","00:01:42,166",路上有点堵来晚了
31,"00:01:42,733","00:01:43,333",我加班
32,"00:01:43,366","00:01:44,966",她多等我了一会
33,"00:01:45,633","00:01:46,400",小溪啊
34,"00:01:46,433","00:01:48,066",你总算回来了
35,"00:01:48,233","00:01:49,599",好久都不见你了
36,"00:01:49,633","00:01:49,966",怎么瘦
37,"00:01:50,000","00:01:50,766",怎么瘦了
38,"00:01:51,200","00:01:51,966",哎呀
39,"00:01:52,466","00:01:53,033",你呀
40,"00:01:53,366","00:01:55,299",没事别总忙着工作
41,"00:01:55,733","00:01:57,000",多陪陪小溪
42,"00:01:57,433","00:01:59,366",也不知道是真忙
43,"00:01:59,400","00:02:01,099",还是不想回来看我们
44,"00:02:01,233","00:02:01,733",妈
45,"00:02:02,066","00:02:03,133",结婚两年了
46,"00:02:03,599","00:02:05,133",她有没有回来专门看你
47,"00:02:05,966","00:02:07,299",老二家的儿媳妇
48,"00:02:07,333","00:02:07,500",老一家的儿媳妇
49,"00:02:07,533","00:02:07,566",老二家的儿媳妇
50,"00:02:07,599","00:02:07,666",老一家的儿媳妇
51,"00:02:07,700","00:02:07,766",老二家的儿媳妇
52,"00:02:07,799","00:02:07,900",架子还是真够大的呀
53,"00:02:07,933","00:02:07,933",架子还是真够大的吗
54,"00:02:07,966","00:02:08,099",架子还是真够大的呀
55,"00:02:08,133","00:02:08,333",架子还是真够大的吗
56,"00:02:08,366","00:02:08,366",架子还是真够大的呀
57,"00:02:08,400","00:02:08,533",架子还是真够大的吗
58,"00:02:08,566","00:02:08,766",架子还是真够大的呀
59,"00:02:08,800","00:02:08,933",架子还是真够大的吗
60,"00:02:08,966","00:02:08,966",架子还是真够大的呀
61,"00:02:09,000","00:02:09,066",架子还是真够天的呀
62,"00:02:09,099","00:02:09,133",架子还是真够天的吗
63,"00:02:09,166","00:02:09,233",架子还是真够大的呀
64,"00:02:09,266","00:02:09,300",架子还是真够大的吗
65,"00:02:09,333","00:02:09,333",架子还是真够大的呀
66,"00:02:09,366","00:02:09,533",架子还是真够大的吗
67,"00:02:09,566","00:02:09,566",架子还是真够大的呀
68,"00:02:09,599","00:02:09,733",架子还是真够大的吗
69,"00:02:09,766","00:02:09,766",架子还是真够大的呀
70,"00:02:09,800","00:02:09,833",架子还是真够大的吗
71,"00:02:09,866","00:02:09,866",架子还是真够大的呀
72,"00:02:09,900","00:02:09,900",架子还是真够大的吗
73,"00:02:09,933","00:02:10,233",架子还是真够大的呀
74,"00:02:11,766","00:02:13,166",10个亿的聘礼
75,"00:02:13,199","00:02:13,300",娶回来的媳好
76,"00:02:13,333","00:02:13,800",娶回来的媳妇
77,"00:02:13,833","00:02:13,833",娶回来的媳好
78,"00:02:13,866","00:02:13,866",娶回来的媳妇
