n_cap,stime,etime,content
1,"00:00:01,233",,听说昨天晚上
1,"00:00:01,233","00:00:01,266",听说昨天晚上
1,"00:00:01,233","00:00:01,300",听说昨天晚上
1,"00:00:01,233","00:00:01,333",听说昨天晚上
1,"00:00:01,233","00:00:01,366",听说昨天晚上
1,"00:00:01,233","00:00:01,399",听说昨天晚上
1,"00:00:01,233","00:00:01,433",听说昨天晚上
1,"00:00:01,233","00:00:01,466",听说昨天晚上
1,"00:00:01,233","00:00:01,500",听说昨天晚上
1,"00:00:01,233","00:00:01,533",听说昨天晚上
1,"00:00:01,233","00:00:01,566",听说昨天晚上
1,"00:00:01,233","00:00:01,600",听说昨天晚上
1,"00:00:01,233","00:00:01,633",听说昨天晚上
1,"00:00:01,233","00:00:01,666",听说昨天晚上
1,"00:00:01,233","00:00:01,700",听说昨天晚上
1,"00:00:01,233","00:00:01,733",听说昨天晚上
1,"00:00:01,233","00:00:01,766",听说昨天晚上
1,"00:00:01,233","00:00:01,800",听说昨天晚上
1,"00:00:01,233","00:00:01,833",听说昨天晚上
1,"00:00:01,233","00:00:01,866",听说昨天晚上
1,"00:00:01,233","00:00:01,899",听说昨天晚上
1,"00:00:01,233","00:00:01,933",听说昨天晚上
1,"00:00:01,233","00:00:01,966",听说昨天晚上
1,"00:00:01,233","00:00:02,000",听说昨天晚上
1,"00:00:01,233","00:00:02,033",听说昨天晚上
1,"00:00:01,233","00:00:02,066",听说昨天晚上
1,"00:00:01,233","00:00:02,100",听说昨天晚上
1,"00:00:01,233","00:00:02,133",听说昨天晚上
1,"00:00:01,233","00:00:02,166",听说昨天晚上
1,"00:00:01,233","00:00:02,200",听说昨天晚上
1,"00:00:01,233","00:00:02,233",听说昨天晚上
1,"00:00:01,233","00:00:02,266",听说昨天晚上
1,"00:00:01,233","00:00:02,299",听说昨天晚上
1,"00:00:01,233","00:00:02,333",听说昨天晚上
1,"00:00:01,233","00:00:02,366",听说昨天晚上
1,"00:00:01,233","00:00:02,399",听说昨天晚上
2,"00:00:02,433","00:00:02,399",又加班了一夜
2,"00:00:02,433","00:00:02,466",又加班了一夜
2,"00:00:02,433","00:00:02,500",又加班了一夜
2,"00:00:02,433","00:00:02,533",又加班了一夜
2,"00:00:02,433","00:00:02,566",又加班了一夜
2,"00:00:02,433","00:00:02,600",又加班了一夜
2,"00:00:02,433","00:00:02,633",又加班了一夜
