n_cap,stime,etime,content
1,"00:00:05,233",,喂
1,"00:00:05,233","00:00:05,266",喂
1,"00:00:05,233","00:00:05,299",喂
1,"00:00:05,233","00:00:05,333",喂
1,"00:00:05,233","00:00:05,366",喂
1,"00:00:05,233","00:00:05,400",喂
1,"00:00:05,233","00:00:05,433",喂
1,"00:00:05,233","00:00:05,466",喂
1,"00:00:05,233","00:00:05,500",喂
1,"00:00:05,233","00:00:05,533",喂
1,"00:00:05,233","00:00:05,566",喂
1,"00:00:05,233","00:00:05,599",喂
1,"00:00:05,233","00:00:05,633",喂
1,"00:00:05,233","00:00:05,666",喂
1,"00:00:05,233","00:00:05,700",喂
2,"00:00:05,966","00:00:05,700",知行
2,"00:00:05,966","00:00:06,000",知行
2,"00:00:05,966","00:00:06,033",知行
2,"00:00:05,966","00:00:06,066",知行
2,"00:00:05,966","00:00:06,099",知行
2,"00:00:05,966","00:00:06,133",知行
2,"00:00:05,966","00:00:06,166",知行
2,"00:00:05,966","00:00:06,200",知行
2,"00:00:05,966","00:00:06,233",知行
2,"00:00:05,966","00:00:06,266",知行
2,"00:00:05,966","00:00:06,299",知行
2,"00:00:05,966","00:00:06,333",知行
2,"00:00:05,966","00:00:06,366",知行
2,"00:00:05,966","00:00:06,400",知行
2,"00:00:05,966","00:00:06,433",知行
2,"00:00:05,966","00:00:06,466",知行
2,"00:00:05,966","00:00:06,500",知行
2,"00:00:05,966","00:00:06,533",知行
2,"00:00:05,966","00:00:06,566",知行
2,"00:00:05,966","00:00:06,599",知行
2,"00:00:05,966","00:00:06,633",知行
2,"00:00:05,966","00:00:06,666",知行
3,"00:00:06,700","00:00:06,666",你奶奶下楼
3,"00:00:06,700","00:00:06,733",你奶奶下楼
3,"00:00:06,700","00:00:06,766",你奶奶下楼
3,"00:00:06,700","00:00:06,799",你奶奶下楼
3,"00:00:06,700","00:00:06,833",你奶奶下楼
3,"00:00:06,700","00:00:06,866",你奶奶下楼
3,"00:00:06,700","00:00:06,900",你奶奶下楼
3,"00:00:06,700","00:00:06,933",你奶奶下楼
3,"00:00:06,700","00:00:06,966",你奶奶下楼
3,"00:00:06,700","00:00:07,000",你奶奶下楼
3,"00:00:06,700","00:00:07,033",你奶奶下楼
3,"00:00:06,700","00:00:07,066",你奶奶下楼
3,"00:00:06,700","00:00:07,099",你奶奶下楼
3,"00:00:06,700","00:00:07,133",你奶奶下楼
3,"00:00:06,700","00:00:07,166",你奶奶下楼
3,"00:00:06,700","00:00:07,200",你奶奶下楼
3,"00:00:06,700","00:00:07,233",你奶奶下楼
3,"00:00:06,700","00:00:07,266",你奶奶下楼
3,"00:00:06,700","00:00:07,299",你奶奶下楼
